Common Name,Symbol,Scientific Name,Family Symbol,Family Common Name,Active Growth Period,Fall Conspicuous,Flower Color,Flower Conspicuous,Foliage Color,Foliage Texture,Fruit Color,Fruit Conspicuous,Leaf Retention,Shape and Orientation,Bloom Period,Commercial Availability
dawn redwood,MEGL8,Metasequoia glyptostroboides,CUPRES,Cypress family,Spring; Summer; Fall,Yes,Yellow,No,Green,Fine,Brown,No,No,Erect,Spring,Routinely Available
southern bayberry,MOCA7,Morella caroliniensis,MYRICA,Bayberry family,Spring,No,Green,No,Dark Green,Medium,White,Yes,Yes,Erect,Spring,Routinely Available
wax myrtle,MOCE2,Morella cerifera,MYRICA,Bayberry family,Spring and Summer,No,White,No,Green,Coarse,Blue,Yes,Yes,Erect,Spring,Routinely Available
northern bayberry,MOPE6,Morella pensylvanica,MYRICA,Bayberry family,Spring,No,Yellow,No,Green,Coarse,Blue,Yes,No,Semi-Erect,Late Spring,Routinely Available
Indian mulberry,MOCI3,Morinda citrifolia,RUBIAC,Madder family,Year Round,No,White,No,Green,Coarse,Yellow,Yes,Yes,Erect,Spring,Routinely Available
white mulberry,MOAL,Morus alba,MORACE,Mulberry family,Spring and Summer,No,Green,No,Green,Medium,Purple,Yes,No,Rounded,Early Spring,Routinely Available
red mulberry,MORU2,Morus rubra,MORACE,Mulberry family,Spring and Summer,No,Green,No,Green,Medium,Purple,Yes,No,Rounded,Early Spring,Routinely Available
lancewood,NECO,Nectandra coriacea,LAURAC,Laurel family,Fall,No,White,Yes,Green,Coarse,Purple,Yes,Yes,MI,Early Summer,MI
oleander,NEOL,Nerium oleander,APOCYN,Dogbane family,Spring; Summer; Fall,Yes,Red,Yes,Green,Coarse,Brown,No,Yes,Erect,Summer,Routinely Available
water tupelo,NYAQ2,Nyssa aquatica,CORNAC,Dogwood family,Spring and Summer,Yes,Green,No,Green,Coarse,Purple,No,No,Erect,Mid Spring,Routinely Available
swamp tupelo,NYBI,Nyssa biflora,CORNAC,Dogwood family,Spring and Summer,Yes,Green,No,Green,Coarse,Blue,No,No,Erect,Late Spring,Routinely Available
Ogeechee tupelo,NYOG,Nyssa ogeche,CORNAC,Dogwood family,Spring and Summer,No,Green,No,Green,Coarse,Red,Yes,No,Erect,Mid Spring,Routinely Available
blackgum,NYSY,Nyssa sylvatica,CORNAC,Dogwood family,Spring and Summer,Yes,Green,No,Green,Coarse,Blue,No,No,Erect,Late Spring,Routinely Available
